asset_filename	asset_type	description	source_data	generation_script	upstream_analysis	status	notes
figures/Fig_3.1_workflow.png	final_figure	Analysis workflow diagram	03_REPRODUCIBILITY/scripts/make_Fig_3.1_workflow.py	03_REPRODUCIBILITY/scripts/make_Fig_3.1_workflow.py	workflow configuration	final	Diagram defined in code
figures/Fig_3.2_fulldepth_vs_eqdepth.png	final_figure	Full-depth and equal-depth profile comparison	03_REPRODUCIBILITY/figure_sources/pcoa/sample_classification_metrics.tsv;03_REPRODUCIBILITY/figure_sources/pcoa/fig6_pcoa_coordinates.tsv	03_REPRODUCIBILITY/scripts/make_Fig_3.2_procrustes.py	read-level profiling	final	
figures/Fig_3.3A_phylum_stacked_barplot.png	final_figure	Phylum relative-abundance barplot	03_REPRODUCIBILITY/figure_sources/read_level/krakenuniq_phylum_relative_classified_23samples_SOURCE.tsv	03_REPRODUCIBILITY/scripts/make_Fig_3.3_separated_panels.py	read-level taxonomic profiling	final	Preserved scientific content
figures/Fig_3.3B_top10_genus_barplot_and_heatmap.png	final_figure	Top-10 genus barplot and genus heatmap	03_REPRODUCIBILITY/figure_sources/pcoa/eqdepth_mean23_genus_relative_abundance_matrix.tsv	03_REPRODUCIBILITY/scripts/make_Fig_3.3_separated_panels.py	read-level taxonomic profiling	final	Preserved scientific content
figures/Fig_3.4_bin_recovery.png	final_figure	Bin recovery and quality summary	04_CORE_ANALYSIS_DATA/05_ASSEMBLY_BINNING_QC_DREP	03_REPRODUCIBILITY/scripts/make_Fig_3.4_bin_recovery.py	assembly binning and dereplication	final	
figures/Fig_3.5_MAG29_taxonomy.png	final_figure	MAG29 taxonomy	04_CORE_ANALYSIS_DATA/06_MAG29	03_REPRODUCIBILITY/scripts/make_Fig_3.5_MAG29_taxonomy.py	MAG29 curation	final	
figures/Fig_3.6_MAG29_recruitment.png	final_figure	MAG29 recruitment heatmap	04_CORE_ANALYSIS_DATA/07_RECRUITMENT	03_REPRODUCIBILITY/scripts/make_Fig_3.6_MAG29_recruitment.py	read recruitment	final	
figures/Fig_3.7_MAG29_functional.png	final_figure	MAG29 functional annotation	04_CORE_ANALYSIS_DATA/08_FUNCTIONAL_ANALYSES	03_REPRODUCIBILITY/scripts/make_Fig_3.7_MAG29_functional.py	functional annotation and FuncScan	final	
figures/Fig_3.8_selected_MAGs_combined.png	final_figure	Selected MAG marker genes and inferred traits	04_CORE_ANALYSIS_DATA/08_FUNCTIONAL_ANALYSES	03_REPRODUCIBILITY/scripts/make_Fig_3.8_selected_MAGs.py	functional annotation	final	GenomeSPOT variables are not plotted
figures/Fig_3.9_CoA4_functional.png	final_figure	Co-assembly representative functional annotation	04_CORE_ANALYSIS_DATA/09_COA4	03_REPRODUCIBILITY/scripts/make_Fig_3.9_CoA4_functional.py	co-assembly functional annotation	final	
figures/Fig_3.10_CoA4_marker_traits.png	final_figure	Co-assembly marker genes and inferred traits	04_CORE_ANALYSIS_DATA/09_COA4	03_REPRODUCIBILITY/scripts/make_Fig_3.10_CoA4_marker_traits.py	co-assembly functional annotation	final	GenomeSPOT variables are not plotted
